"ID","INCOME_CONTACT_ID","INCOME_START_DATE","INCOME_END_DATE","INCOME_CURRENCY","INCOME_AMOUNT","INCOME_PLEDGE_PERCENTAGE","STATUS"
"a004E000007xQucQAE","790","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","275000","10","Item Created"
"a004E000007xQudQAE","790","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","198000","10","Item Created"
"a004E000007xQueQAE","794","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","18553.18","10","Item Created"
"a004E000007xQufQAE","794","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","26662.04","10","Item Created"
"a004E000007xQugQAE","794","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","32582.31","10","Item Created"
"a004E000007xQuhQAE","794","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","11395.69","10","Item Created"
"a004E000007xQuiQAE","797","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","27500","10","Item Created"
"a004E000007xQujQAE","797","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","25000","10","Item Created"
"a004E000007xQukQAE","797","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","27000","10","Item Created"
"a004E000007xQulQAE","801","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","CHF","20000","20","Item Created"
"a004E000007xQumQAE","801","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","CHF","20000","20","Item Created"
"a004E000007xQunQAE","801","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","CHF","60000","20","Item Created"
"a004E000007xQuoQAE","801","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","CHF","60000","20","Item Created"
"a004E000007xQupQAE","803","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","4200","10","Item Created"
"a004E000007xQuqQAE","803","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","8000","10","Item Created"
"a004E000007xQurQAE","803","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","8000","10","Item Created"
"a004E000007xQusQAE","803","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","7600","10","Item Created"
"a004E000007xQutQAE","803","2016-01-01T00:00:00.000Z","2016-12-31T00:00:00.000Z","GBP","4000","10","Item Created"
"a004E000007xQuuQAE","808","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","27000","10","Item Created"
"a004E000007xQuvQAE","808","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","30000","10","Item Created"
"a004E000007xQuwQAE","809","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","GBP","66112","10","Item Created"
"a004E000007xQuxQAE","809","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","140853","10","Item Created"
"a004E000007xQuyQAE","809","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","124164","10","Item Created"
"a004E000007xQuzQAE","809","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","120000","10","Item Created"
"a004E000007xQv0QAE","814","2011-04-05T23:00:00.000Z","2012-04-04T23:00:00.000Z","GBP","1260","10","Item Created"
"a004E000007xQv1QAE","814","2012-04-05T23:00:00.000Z","2013-04-04T23:00:00.000Z","GBP","22157","10","Item Created"
"a004E000007xQv2QAE","814","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","23818","10","Item Created"
"a004E000007xQv3QAE","814","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","23732.64","10","Item Created"
"a004E000007xQv4QAE","814","2015-04-05T23:00:00.000Z","2016-04-04T23:00:00.000Z","GBP","1208.79","10","Item Created"
"a004E000007xQv5QAE","815","2012-09-16T23:00:00.000Z","2013-09-15T23:00:00.000Z","CHF","16000","10","Item Created"
"a004E000007xQv6QAE","815","2013-09-16T23:00:00.000Z","2014-09-15T23:00:00.000Z","GBP","19500","10","Item Created"
"a004E000007xQv7QAE","815","2014-09-16T23:00:00.000Z","2015-09-15T23:00:00.000Z","GBP","19500","10","Item Created"
"a004E000007xQv8QAE","815","2015-09-16T23:00:00.000Z","2016-09-15T23:00:00.000Z","GBP","20000","10","Item Created"
"a004E000007xQv9QAE","820","2014-03-31T23:00:00.000Z","2015-03-30T23:00:00.000Z","USD","45000","10","Item Created"
"a004E000007xQvAQAU","820","2015-03-31T23:00:00.000Z","2016-03-30T23:00:00.000Z","USD","45000","10","Item Created"
"a004E000007xQvBQAU","826","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","CHF","21600","10","Item Created"
"a004E000007xQvCQAU","826","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","CHF","39600","10","Item Created"
"a004E000007xQvDQAU","826","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","CHF","40000","10","Item Created"
"a004E000007xQvEQAU","829","2010-06-30T23:00:00.000Z","2011-06-29T23:00:00.000Z","AUD","47143","10","Item Created"
"a004E000007xQvFQAU","829","2011-06-30T23:00:00.000Z","2012-06-29T23:00:00.000Z","AUD","26703","10","Item Created"
"a004E000007xQvGQAU","829","2012-06-30T23:00:00.000Z","2013-06-29T23:00:00.000Z","AUD","59498","10","Item Created"
"a004E000007xQvHQAU","829","2013-06-30T23:00:00.000Z","2014-06-29T23:00:00.000Z","AUD","59458.33","10","Item Created"
"a004E000007xQvIQAU","829","2014-06-30T23:00:00.000Z","2015-06-29T23:00:00.000Z","AUD","107642","10","Item Created"
"a004E000007xQvJQAU","830","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","46612","15","Item Created"
"a004E000007xQvKQAU","830","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","40000","15","Item Created"
"a004E000007xQvLQAU","831","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","GBP","5824.81","10","Item Created"
"a004E000007xQvMQAU","831","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","GBP","14132.71","10","Item Created"
"a004E000007xQvNQAU","832","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","117000","10","Item Created"
"a004E000007xQvOQAU","837","2012-01-01T00:00:00.000Z","2012-12-31T00:00:00.000Z","USD","96000","10","Item Created"
"a004E000007xQvPQAU","837","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","98000","10","Item Created"
"a004E000007xQvQQAU","837","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","99500","10","Item Created"
"a004E000007xQvRQAU","837","2015-01-01T00:00:00.000Z","2015-12-31T00:00:00.000Z","USD","102080","10","Item Created"
"a004E000007xQvSQAU","839","2012-04-05T23:00:00.000Z","2013-04-04T23:00:00.000Z","GBP","2940.35","10","Item Created"
"a004E000007xQvTQAU","839","2013-04-05T23:00:00.000Z","2014-04-04T23:00:00.000Z","GBP","2924.99","10","Item Created"
"a004E000007xQvUQAU","839","2014-04-05T23:00:00.000Z","2015-04-04T23:00:00.000Z","GBP","15480.61","10","Item Created"
"a004E000007xQvVQAU","842","2011-09-30T23:00:00.000Z","2012-09-29T23:00:00.000Z","GBP","22500","10","Item Created"
"a004E000007xQvWQAU","842","2013-09-30T23:00:00.000Z","2014-09-29T23:00:00.000Z","GBP","13000","10","Item Created"
"a004E000007xQvXQAU","842","2014-09-30T23:00:00.000Z","2015-09-29T23:00:00.000Z","GBP","13000","10","Item Created"
"a004E000007xQvYQAU","842","2015-09-30T23:00:00.000Z","2016-09-29T23:00:00.000Z","GBP","13000","10","Item Created"
"a004E000007xQvZQAU","843","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","USD","48600","10","Item Created"
"a004E000007xQvaQAE","843","2014-01-01T00:00:00.000Z","2014-12-31T00:00:00.000Z","USD","50000","10","Item Created"
"a004E000007xQvbQAE","851","2013-01-01T00:00:00.000Z","2013-12-31T00:00:00.000Z","GBP","13996","10","Item Created"
